symbol,date,marketCap
AZPN,2022-09-30,15392721961
AZPN,2022-09-29,15087392320
AZPN,2022-09-28,15446401100
AZPN,2022-09-27,14996512180
AZPN,2022-09-26,14275271920
AZPN,2022-09-23,14318456100
AZPN,2022-09-22,14393222740
AZPN,2022-09-21,14518908040
AZPN,2022-09-20,14582072960
AZPN,2022-09-19,14889518540
AZPN,2022-09-16,14590451980
AZPN,2022-09-15,14380331940
AZPN,2022-09-14,14631058000
AZPN,2022-09-13,14515040800
AZPN,2022-09-12,14542756020
AZPN,2022-09-09,14270760140
AZPN,2022-09-08,13901438720
AZPN,2022-09-07,13728702000
AZPN,2022-09-06,13396763900
AZPN,2022-09-02,13443170780
AZPN,2022-09-01,13413521940
AZPN,2022-08-31,13574012400
AZPN,2022-08-30,13325219960
AZPN,2022-08-29,13761573540
AZPN,2022-08-26,13931732100
AZPN,2022-08-25,13962670020
AZPN,2022-08-24,14081909920
AZPN,2022-08-23,13859543620
AZPN,2022-08-22,13865989020
AZPN,2022-08-19,14428027900
AZPN,2022-08-18,14623323520
AZPN,2022-08-17,13987162540
AZPN,2022-08-16,13864699940
AZPN,2022-08-15,14098023420
AZPN,2022-08-12,13947201060
AZPN,2022-08-11,13728702000
AZPN,2022-08-10,13428346360
AZPN,2022-08-09,12896600860
AZPN,2022-08-08,13377427700
AZPN,2022-08-05,13736436480
AZPN,2022-08-04,13712588500
AZPN,2022-08-03,13532117300
AZPN,2022-08-02,13396119360
AZPN,2022-08-01,13241429760
AZPN,2022-07-29,13154416860
AZPN,2022-07-28,12578198100
AZPN,2022-07-27,12633628540
AZPN,2022-07-26,11664884920
AZPN,2022-07-25,11758987760
AZPN,2022-07-22,11724182600
AZPN,2022-07-21,11749964200
AZPN,2022-07-20,11635880620
AZPN,2022-07-19,11530820600
AZPN,2022-07-18,11298786200
AZPN,2022-07-15,11351638480
AZPN,2022-07-14,11343259460
AZPN,2022-07-13,11514707100
AZPN,2022-07-12,11587540120
AZPN,2022-07-11,12155379860
AZPN,2022-07-08,12086414080
AZPN,2022-07-07,12109617520
